acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
0.17,0.338,620373,0.461,0.564,9,0.0927,-10.74,0,0.0396,126.698,4,0.351,0
0.196,0.356,442627,0.66,0.587,7,0.0934,-11.451,0,0.0632,187.837,4,0.409,0
0.417,0.546,193653,0.274,2.99e-05,2,0.109,-15.07,0,0.027,66.809,4,0.228,0
0.864,0.599,211400,0.271,0.0243,11,0.0553,-10.724,0,0.0358,129.173,4,0.216,0
0.00147,0.524,425200,0.812,3.34e-05,11,0.103,-6.671,0,0.0449,121.736,4,0.545,0
0.00192,0.632,411533,0.981,0.0252,10,0.0848,-5.516,0,0.0535,119.738,4,0.635,0
0.0112,0.687,496893,0.678,0.672,9,0.112,-14.29,0,0.0368,124.0,4,0.545,0
0.0015,0.786,398090,0.45,0.312,1,0.0644,-10.926,1,0.0464,123.026,4,0.676,0
0.00692,0.707,401379,0.724,0.762,2,0.0663,-10.809,0,0.0654,120.015,4,0.928,0
0.0766,0.813,473051,0.509,0.923,5,0.0813,-11.482,0,0.045,126.005,4,0.838,0
